album,album_order,year,track_num,title,n_lines,n_words,full_text,tokens,types,ttr,hapax_ratio,order,log_tokens
Revolver,2,1966,7,She Said She Said,28,212,"She said, ""I know what it's like to be dead
I know what it is to be sad""
And she's makin' me feel
Like I've never been born
I said, ""Who put all those things in your head?
Things that make me feel that I'm mad
And you're making me feel
Like I've never been born""
She said, ""You don't understand what I said""
I said, ""No, no, no, you're wrong""
When I was a boy, everything was right
Everything was right
I said, ""Even though you know what you know
I know that I'm ready to leave
'Cause you're making me feel
Like I've never been born""
She said, ""You don't understand what I said""
I said, ""No, no, no, you're wrong""
When I was a boy, everything was right
Everything was right
I said, ""Even though you know what you know
I know that I'm ready to leave
'Cause you're making me feel
Like I've never been born""
She said (She said)
""I know what it's like to be dead (I know what it's like to be dead)
I know what it is to be sad (I know what it is to be sad)
I know what it's like to be dead (I know what it's like to be dead)""",212,52,0.24528301886792453,0.21153846153846154,2.0,5.356586274672012
Revolver,2,1966,8,Good Day Sunshine,28,141,"Good day sunshine
Good day sunshine
Good day sunshine
I need to laugh, and when the sun is out
I've got something I can laugh about
I feel good, in a special way
I'm in love and it's a sunny day
Good day sunshine
Good day sunshine
Good day sunshine
We take a walk, the sun is shining down
Burns my feet as they touch the ground
Good day sunshine
Good day sunshine
Good day sunshine
Then we lie, beneath a shady tree
I love her and she's loving me
She feels good, (She do) she knows she's looking fine
I'm so proud to know that she is mine
Good day sunshine
Good day sunshine
Good day sunshine
Good day sunshine
Good day sunshine
Good day sunshine
Good day sunshine
(Good day sunshine, good day sunshine
Good day sunshine, good day…)",141,59,0.41843971631205673,0.711864406779661,2.0,4.948759890378168
Revolver,2,1966,9,And Your Bird Can Sing,21,104,"Tell me that you've got everything you want
And your bird can sing
But you don't get me
You don't get
me
You say you've seen seven wonders
And your bird is green
But you can't see me
You can't see
me
When your prized possessions
Start to weigh you down
Look in my direction
I'll be 'round, I'll be 'round
When your bird is broken
Will it bring you down?
You may be awoken
I'll be 'round, I'll be 'round
You tell me that you've heard every sound there isAnd your bird can swing
But you can't hear me
You can't hear me",104,51,0.49038461538461536,0.5882352941176471,2.0,4.6443908991413725
Revolver,2,1966,10,For No One,32,189,"Your day breaks, your mind aches
You find that all her words
Of kindness linger on
When she no longer needs you
She wakes up, she makes up
She takes her time
And doesn't feel she has to hurry
She no longer needs you
And in her eyes, you see nothing
No sign of love behind the tears
Cried for no one
A love that should have lasted years
You want her, you need her
And yet you don't believe her
When she says her love is dead
You think she needs you
And in her eyes, you see nothing
No sign of love behind the tears
Cried for no one
A love that should have lasted years
You stay home, she goes out
She says that long ago
She knew someone, but now he's gone
She doesn't need him
Your day breaks, your mind aches
There will be times
When all the things she said will fill your head
You won't forget her
And in her eyes, you see nothing
No sign of love behind the tears
Cried for no one
A love that should have lasted years",189,80,0.42328042328042326,0.525,2.0,5.241747015059643
Revolver,2,1966,11,Doctor Robert,37,165,"Ring my friend, I said you'd call
Doctor Robert
Day or night, he'll be there any time at all
Doctor Robert
Doctor Robert
You're a new and better man
He helps you to understand
He does everything he can
Doctor Robert
If you're down, he'll pick you up
Doctor Robert
Take a drink from his special cup
Doctor Robert
Doctor Robert
He's a man you must believe
Helping anyone in need
No one can succeed like
Doctor Robert
Well, well, well, you're feeling fine
Well, well, well, he'll make you
Doctor Robert
My friend works for the National Health
Doctor Robert
You'll pay money just to see yourself
With Doctor Robert
Doctor Robert
You're a new and better man
He helps you to understand
He does everything he can
Bob Robert
Well, well, well, you're feeling fine
Well, well, well, he'll make you
Doctor Robert
Ring my friend, I said you'd call
Doctor Robert
Ring my friend, I said you'd call
Bob Robert, Doctor Robert",165,71,0.4303030303030303,0.5915492957746479,2.0,5.10594547390058
Revolver,2,1966,12,I Want to Tell You,27,137,"I want to tell you
My head is filled with things to say
When you're here
All those words, they seem to
slip away
When I get near you
The games begin to drag me down
It's all right
I'll make you maybe next
time around
But if I seem to act unkind
It's only me, it's not my mind
That is confusing things
I want to tell you
I feel hung up, but I don't know why
I don't mind
I could wait forever,
I've got time
Sometimes, I wish I knew you well
Then I could speak my mind and tell you
Maybe you'd understand
I want to tell you
I feel hung up, but I don't know why
I don't mind
I could wait forever, I've got time
I've got time
I've got time",137,67,0.48905109489051096,0.582089552238806,2.0,4.919980925828125
Revolver,2,1966,13,Got to Get You into My Life,31,218,"I was alone, I took a ride
I didn't know what I would find there
Another road where maybe I
Could see another kind of mind there
Ooh, then I suddenly see you
Ooh, did I tell you I need you
Every single day of my life?
You didn't run, you didn't lie
You knew I wanted just to hold you
And had you gone, you knew in time
We'd meet again, for I had told you
Ooh, you were meant to be near me
Ooh, and I want you to hear me
Say we'll be together every day
Got to get you into my life
What can I do, what can I be?
When I'm with you, I want to stay there
If I'm true, I'll never leave
And if I do, I know the way there
Ooh, then I suddenly see you
Ooh, did I tell you I need you
Every single day of my life?
Got to get you into my life
I've got to get you into my life
I was alone, I took a ride
I didn't know what I would find there
Another road where maybe I
Could see another kind of mind there
And suddenly, I see you
Did I tell you I need you?
Every single day of my life?",218,77,0.3532110091743119,0.38961038961038963,2.0,5.384495062789089
Revolver,2,1966,14,Tomorrow Never Knows,17,117,"Turn off your mind, relax and float downstream
It is not dying, it is not dying
Lay down all thoughts, surrender to the void
It is shining, it is shining
That you may see the meaning of within
It is being, it is being
That love is all and love is everyone
It is knowing, it is knowing
That ignorance and hate may mourn the dead
It is believing, it is believing
But listen to the colour of your dreams
It is not living, it is not living
Or play the game ""Existence"" to the end
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning",117,48,0.41025641025641024,0.6041666666666666,2.0,4.762173934797756
Sgt. Pepper's Lonely Hearts Club Band,3,1967,1,Sgt. Pepper's Lonely Hearts Club Band,30,176,"(*People talking*)
It was twenty years ago today
When Sgt. Pepper taught the band to play
They've been going in and out of style
But they're guaranteed to raise a smile
So may I introduce to you
The act you've known for all these years
Sgt. Pepper's Lonely Hearts Club Band
(*Applauding*)
(*People laughing*)
We're Sgt. Pepper's Lonely Hearts Club Band
We hope you will enjoy the show
Sgt. Pepper's Lonely Hearts Club Band
Sit back and let the evening go
Sgt. Pepper's Lonely, Sgt. Pepper's Lonely
Sgt. Pepper's Lonely Hearts Club Band
It's wonderful to be here
It's certainly a thrill
You're such a lovely audience
We'd like to take you home with us
We'd love to take you home
I don't really want to stop the show
But I thought you might like to know
That the singer's going to sing a song
And he wants you all to sing along
So let me introduce to you
The one and only Billy Shears
And Sgt. Pepper's Lonely Hearts Club Band, yeah
(*Applauding*)
(*People screaming*)",176,96,0.5454545454545454,0.7083333333333334,3.0,5.170483995038151
Sgt. Pepper's Lonely Hearts Club Band,3,1967,2,With a Little Help from My Friends,46,322,"Billy Shears!
What would you think if I sang out of tune?
Would you stand up and walk out on me?
Lend me your ears and I'll sing you a song
And I'll try not to sing out of key
Oh, I get by with a little help from my friends
Mm, I get high with a little help from my friends
Mm, gonna try with a little help from my friends
[Verse 2: Ringo Starr,
John Lennon, Paul McCartney & George Harrison
]
What do I do when my love is away?
(
Does it worry you to be alone?
)
How do I feel by the end of the day?
(
Are you sad because you're on your own?
)
No, I get by with a little help from my friends
Mm, get high with a little help from my friends
Mm, I'm gonna try with a little help from my friends
[Bridge: Ringo Starr,
John Lennon, Paul McCartney & George Harrison
]
Do you need anybody?
I need somebody to love
Could it be anybody?
I want somebody to love
Would you believe in a love at first sight?
Yes, I'm certain that it happens all the time
What do you see when you turn out the light?
I can't tell you, but I know it's mine
Oh, I get by with a little help from my friends
Mm, get high with a little help from my friends
Oh, I'm gonna try with a little help from my friends
Do you need anybody?
I just need someone to love
Could it be anybody?
I want somebody to love
Oh, I get by with a little help from my friends
Mm, gonna try with a little help from my friends
Oh, I get high with a little help from my friends
Yes, I get by with a little help from my friends
With a little help from my friends
(Ah-ah-ah-ah-ah-ah-ah-ah-ah)",321,101,0.3146417445482866,0.5148514851485149,3.0,5.771441123130016
