setting,policy,cap,threshold,task,posthoc_screened_quality,cases,positive_cases,supported_answers,quality,negative_abstention,mean_input_tokens,mean_total_tokens,tokens_per_supported_answer,availability,utilization,target_recall,model_attribution,mean_receipt_latency_s,mean_rounds
embedding:2400:t3,embedding,2400,3,multi_hop,0.5,4,4,2,0.5,,2768.25,3057.5,6115.0,1.0,0.6666666666666666,0.6666666666666666,0.8461538461538461,4.746456916996976,1.0
embedding:2400:t3,embedding,2400,3,abstention,,4,0,0,,0.75,2252.0,2367.75,,,,,1.0,1.9817209477478173,1.0
tfidf:800:t3,tfidf,800,3,local,0.25,4,4,1,0.25,,1679.75,1949.25,7797.0,0.625,1.0,0.625,0.7857142857142857,4.646707708758186,1.0
tfidf:800:t3,tfidf,800,3,distant,1.0,4,4,4,1.0,,1766.5,2079.5,2079.5,0.75,0.6666666666666666,0.5,1.0,4.833484125236282,1.0
tfidf:800:t3,tfidf,800,3,transformation,1.0,4,4,4,1.0,,1651.5,1879.0,1879.0,0.875,0.8571428571428571,0.75,1.0,3.9101379169733264,1.0
tfidf:800:t3,tfidf,800,3,contradiction,0.5,4,4,2,0.5,,1674.5,1931.0,3862.0,0.875,0.8571428571428571,0.75,0.8333333333333334,3.734737635750207,1.0
tfidf:800:t3,tfidf,800,3,multi_hop,0.5,4,4,2,0.5,,1707.75,1976.75,3953.5,0.6666666666666666,0.625,0.4166666666666667,0.9285714285714286,3.886765802264563,1.0
tfidf:800:t3,tfidf,800,3,abstention,,4,0,0,,1.0,1033.75,1099.0,,,,,,1.1526100832561497,1.0
embedding:800:t3,embedding,800,3,local,0.25,4,4,1,0.25,,1710.25,2001.25,8005.0,0.75,1.0,0.75,0.8125,4.937475770508172,1.0
embedding:800:t3,embedding,800,3,distant,0.75,4,4,3,0.75,,1748.0,2040.25,2720.3333333333335,0.875,0.42857142857142855,0.375,1.0,3.973639541742159,1.0
embedding:800:t3,embedding,800,3,transformation,0.5,4,4,2,0.5,,1702.5,1974.25,3948.5,0.75,0.8333333333333334,0.625,1.0,3.994144166499609,1.0
embedding:800:t3,embedding,800,3,contradiction,0.25,4,4,1,0.25,,1623.0,1841.0,7364.0,0.625,1.0,0.625,0.75,3.297729645986692,1.0
embedding:800:t3,embedding,800,3,multi_hop,0.5,4,4,2,0.5,,1715.0,2007.0,4014.0,0.75,0.6666666666666666,0.5,0.9285714285714286,4.294093614269514,1.0
embedding:800:t3,embedding,800,3,abstention,,4,0,0,,0.75,1220.5,1337.25,,,,,1.0,2.4451634480210487,1.0
embedding:1200:t3,embedding,1200,3,local,0.5,4,4,2,0.5,,2102.75,2372.5,4745.0,0.75,1.0,0.75,0.8571428571428571,4.305765500001144,1.0
embedding:1200:t3,embedding,1200,3,distant,1.0,4,4,4,1.0,,2176.0,2473.25,2473.25,1.0,0.5,0.5,1.0,4.073808166489471,1.0
embedding:1200:t3,embedding,1200,3,transformation,0.75,4,4,3,0.75,,2068.5,2295.25,3060.3333333333335,0.875,0.8571428571428571,0.75,1.0,3.4832576459739357,1.0
embedding:1200:t3,embedding,1200,3,contradiction,0.75,4,4,3,0.75,,2098.75,2359.25,3145.6666666666665,0.625,0.8,0.5,1.0,4.229521051500342,1.0
embedding:1200:t3,embedding,1200,3,multi_hop,1.0,4,4,4,1.0,,2148.0,2435.0,2435.0,0.8333333333333334,0.4,0.3333333333333333,1.0,3.9659907397290226,1.0
embedding:1200:t3,embedding,1200,3,abstention,,4,0,0,,1.0,1473.75,1557.25,,,,,0.0,1.313068052273593,1.0
tfidf:2400:t3,tfidf,2400,3,local,0.75,4,4,3,0.75,,2741.5,3033.75,4045.0,1.0,0.75,0.75,0.9333333333333333,4.113325125217671,1.0
tfidf:2400:t3,tfidf,2400,3,distant,0.75,4,4,3,0.75,,2739.5,3006.0,4008.0,1.0,0.5,0.5,0.9090909090909091,4.304562114513828,1.0
tfidf:2400:t3,tfidf,2400,3,transformation,1.0,4,4,4,1.0,,2702.5,2956.75,2956.75,1.0,0.875,0.875,1.0,3.840897979476722,1.0
tfidf:2400:t3,tfidf,2400,3,contradiction,1.0,4,4,4,1.0,,2710.25,2951.75,2951.75,1.0,0.625,0.625,1.0,3.8194151665084064,1.0
tfidf:2400:t3,tfidf,2400,3,multi_hop,1.0,4,4,4,1.0,,2760.25,3042.5,3042.5,1.0,0.5833333333333334,0.5833333333333334,1.0,4.15968445847102,1.0
tfidf:2400:t3,tfidf,2400,3,abstention,,4,0,0,,0.75,2248.75,2363.5,,,,,1.0,2.0791307604959,1.0
adaptive:100000:t3,adaptive,100000,3,local,1.0,4,4,4,1.0,,6696.25,7389.25,7389.25,0.75,1.0,0.75,1.0,13.282822989480337,2.5
adaptive:100000:t3,adaptive,100000,3,distant,0.75,4,4,4,1.0,,7303.25,8102.75,8102.75,0.5,0.75,0.375,1.0,12.925514988979558,2.5
adaptive:100000:t3,adaptive,100000,3,transformation,1.0,4,4,4,1.0,,6706.25,7368.25,7368.25,0.625,1.0,0.625,1.0,12.095329271047376,2.5
adaptive:100000:t3,adaptive,100000,3,contradiction,0.5,4,4,2,0.5,,14615.25,15803.25,31606.5,0.875,0.42857142857142855,0.375,1.0,22.5546986257541,4.0
adaptive:100000:t3,adaptive,100000,3,multi_hop,1.0,4,4,4,1.0,,10562.5,11540.0,11540.0,0.75,0.7777777777777778,0.5833333333333334,1.0,17.087793781014625,3.5
adaptive:100000:t3,adaptive,100000,3,abstention,,4,0,0,,0.75,11388.75,11813.25,,,,,1.0,9.175132144780946,5.0
relational:1600:t3,relational,1600,3,local,0.5,4,4,2,0.5,,2551.0,2821.0,5642.0,0.875,0.8571428571428571,0.75,0.8571428571428571,3.7361929480102845,1.0
relational:1600:t3,relational,1600,3,distant,0.5,4,4,2,0.5,,2670.5,2976.0,5952.0,0.625,0.2,0.125,0.7857142857142857,4.435033687244868,1.0
relational:1600:t3,relational,1600,3,transformation,0.5,4,4,2,0.5,,2557.75,2816.25,5632.5,0.75,1.0,0.75,0.9090909090909091,3.6713647087744903,1.0
relational:1600:t3,relational,1600,3,contradiction,0.25,4,4,1,0.25,,2525.25,2781.5,11126.0,0.875,0.42857142857142855,0.375,0.8333333333333334,3.901435906998813,1.0
relational:1600:t3,relational,1600,3,multi_hop,0.25,4,4,1,0.25,,2628.0,2915.75,11663.0,0.75,0.6666666666666666,0.5,0.8,5.093342291991576,1.0
relational:1600:t3,relational,1600,3,abstention,,4,0,0,,1.0,1913.75,2011.5,,,,,0.0,1.4578423122438835,1.0
relational:800:t3,relational,800,3,local,0.75,4,4,3,0.75,,1680.25,1958.0,2610.6666666666665,0.75,1.0,0.75,0.875,4.067499062264687,1.0
relational:800:t3,relational,800,3,distant,0.0,4,4,0,0.0,,1725.5,2027.0,,0.5,0.75,0.375,0.5714285714285714,4.190097198224976,1.0
relational:800:t3,relational,800,3,transformation,0.5,4,4,2,0.5,,1591.75,1813.5,3627.0,0.5,0.75,0.375,0.875,3.3836487082298845,1.0
relational:800:t3,relational,800,3,contradiction,0.0,4,4,0,0.0,,1598.25,1844.0,,0.625,0.6,0.375,0.75,3.507591999747092,1.0
relational:800:t3,relational,800,3,multi_hop,0.25,4,4,1,0.25,,1752.75,2069.0,8276.0,0.4166666666666667,1.0,0.4166666666666667,0.8125,4.393710948017542,1.0
relational:800:t3,relational,800,3,abstention,,4,0,0,,1.0,965.0,1050.75,,,,,0.0,1.401842073246371,1.0
relational:1200:t3,relational,1200,3,local,0.5,4,4,2,0.5,,2175.75,2466.25,4932.5,0.875,0.8571428571428571,0.75,0.75,4.176353812246816,1.0
relational:1200:t3,relational,1200,3,distant,0.25,4,4,1,0.25,,2236.5,2545.0,10180.0,0.625,0.6,0.375,0.75,4.805205969023518,1.0
relational:1200:t3,relational,1200,3,transformation,0.75,4,4,3,0.75,,2101.5,2361.5,3148.6666666666665,0.75,0.8333333333333334,0.625,0.8333333333333334,3.873286927002482,1.0
relational:1200:t3,relational,1200,3,contradiction,0.0,4,4,1,0.25,,2039.75,2266.75,9067.0,0.75,0.5,0.375,0.625,3.9547557917394442,1.0
relational:1200:t3,relational,1200,3,multi_hop,0.25,4,4,1,0.25,,2184.5,2483.75,9935.0,0.5,0.6666666666666666,0.3333333333333333,0.8,4.737492458283668,1.0
relational:1200:t3,relational,1200,3,abstention,,4,0,0,,0.75,1666.75,1780.5,,,,,1.0,2.341710343491286,1.0
adaptive:100000:t2,adaptive,100000,2,local,1.0,4,4,4,1.0,,7022.75,7786.75,7786.75,0.75,1.0,0.75,1.0,13.154379729719949,2.5
adaptive:100000:t2,adaptive,100000,2,distant,0.75,4,4,4,1.0,,7311.25,8110.25,8110.25,0.5,0.75,0.375,1.0,12.786460093484493,2.5
adaptive:100000:t2,adaptive,100000,2,transformation,1.0,4,4,4,1.0,,7386.5,8148.5,8148.5,0.625,1.0,0.625,1.0,14.424572291580262,2.5
adaptive:100000:t2,adaptive,100000,2,contradiction,0.5,4,4,2,0.5,,14924.25,16170.5,32341.0,0.875,0.42857142857142855,0.375,1.0,22.764880208516843,4.0
adaptive:100000:t2,adaptive,100000,2,multi_hop,1.0,4,4,4,1.0,,11247.25,12378.75,12378.75,0.75,0.7777777777777778,0.5833333333333334,1.0,18.495823780729552,3.5
adaptive:100000:t2,adaptive,100000,2,abstention,,4,0,0,,0.75,11390.75,11814.75,,,,,1.0,9.195374165807152,5.0
adaptive:100000:t4,adaptive,100000,4,local,1.0,4,4,4,1.0,,7550.75,8282.75,8282.75,0.875,0.8571428571428571,0.75,1.0,12.51841241720831,3.0
adaptive:100000:t4,adaptive,100000,4,distant,0.75,4,4,4,1.0,,9052.75,9881.5,9881.5,0.75,0.6666666666666666,0.5,1.0,12.9919040932582,3.0
adaptive:100000:t4,adaptive,100000,4,transformation,1.0,4,4,4,1.0,,6277.5,6854.5,6854.5,0.625,1.0,0.625,1.0,10.854557552316692,2.5
adaptive:100000:t4,adaptive,100000,4,contradiction,0.5,4,4,2,0.5,,13434.25,14495.75,28991.5,0.875,0.42857142857142855,0.375,1.0,19.91732230228081,4.0
adaptive:100000:t4,adaptive,100000,4,multi_hop,1.0,4,4,4,1.0,,10089.75,10959.75,10959.75,0.75,0.7777777777777778,0.5833333333333334,1.0,14.751233749746461,3.75
adaptive:100000:t4,adaptive,100000,4,abstention,,4,0,0,,0.75,13914.0,14331.75,,,,,1.0,9.39353712425509,6.0
