threshold,album,artist,song,attention_window
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),6
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),5
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),4
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),3
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),2
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),1
0.75,Abbey Road,The Beatles,I Want You (She's So Heavy),0
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,14
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,3
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,6
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,1
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,34
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,2
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,17
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,31
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,9
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,29
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,0
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,0
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,13
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,25
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,10
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,8
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,9
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,7
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,1
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,19
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,18
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,17
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,16
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,1
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,0
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,0
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,1
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,11
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,2
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,9
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,8
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,7
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,6
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,5
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,4
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,3
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,2
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,1
0.75,Abbey Road,The Beatles,Maxwell's Silver Hammer,0
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,7
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,6
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,11
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,1
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,9
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,1
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,0
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,4
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,3
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,4
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,3
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,2
0.75,Abbey Road,The Beatles,Mean Mr. Mustard,1
