album,artist,song,line_number,attention_window
Abbey Road,The Beatles,Maxwell's Silver Hammer,39,0
Abbey Road,The Beatles,Mean Mr. Mustard,1,0
Abbey Road,The Beatles,Mean Mr. Mustard,2,0
Abbey Road,The Beatles,Mean Mr. Mustard,3,0
Abbey Road,The Beatles,Mean Mr. Mustard,4,0
Abbey Road,The Beatles,Mean Mr. Mustard,5,0
Abbey Road,The Beatles,Mean Mr. Mustard,6,1
Abbey Road,The Beatles,Mean Mr. Mustard,7,0
Abbey Road,The Beatles,Mean Mr. Mustard,8,0
Abbey Road,The Beatles,Mean Mr. Mustard,9,0
Abbey Road,The Beatles,Mean Mr. Mustard,10,0
Abbey Road,The Beatles,Mean Mr. Mustard,11,0
Abbey Road,The Beatles,Mean Mr. Mustard,12,0
Abbey Road,The Beatles,Mean Mr. Mustard,13,1
Abbey Road,The Beatles,Mean Mr. Mustard,14,0
Abbey Road,The Beatles,Octopus's Garden,1,0
Abbey Road,The Beatles,Octopus's Garden,2,0
Abbey Road,The Beatles,Octopus's Garden,3,0
Abbey Road,The Beatles,Octopus's Garden,4,0
Abbey Road,The Beatles,Octopus's Garden,5,0
Abbey Road,The Beatles,Octopus's Garden,6,0
Abbey Road,The Beatles,Octopus's Garden,7,0
Abbey Road,The Beatles,Octopus's Garden,8,0
Abbey Road,The Beatles,Octopus's Garden,9,0
Abbey Road,The Beatles,Octopus's Garden,10,0
Abbey Road,The Beatles,Octopus's Garden,11,0
Abbey Road,The Beatles,Octopus's Garden,12,0
Abbey Road,The Beatles,Octopus's Garden,13,0
Abbey Road,The Beatles,Octopus's Garden,14,0
Abbey Road,The Beatles,Octopus's Garden,15,0
Abbey Road,The Beatles,Octopus's Garden,16,0
Abbey Road,The Beatles,Octopus's Garden,17,0
Abbey Road,The Beatles,Octopus's Garden,18,0
Abbey Road,The Beatles,Octopus's Garden,19,0
Abbey Road,The Beatles,Octopus's Garden,20,0
Abbey Road,The Beatles,Octopus's Garden,21,0
Abbey Road,The Beatles,Octopus's Garden,22,0
Abbey Road,The Beatles,Octopus's Garden,23,0
Abbey Road,The Beatles,Octopus's Garden,24,2
Abbey Road,The Beatles,Octopus's Garden,25,1
Abbey Road,The Beatles,Octopus's Garden,26,0
Abbey Road,The Beatles,Oh! Darling,1,0
Abbey Road,The Beatles,Oh! Darling,2,0
Abbey Road,The Beatles,Oh! Darling,3,0
Abbey Road,The Beatles,Oh! Darling,4,0
Abbey Road,The Beatles,Oh! Darling,5,0
Abbey Road,The Beatles,Oh! Darling,6,0
Abbey Road,The Beatles,Oh! Darling,7,0
Abbey Road,The Beatles,Oh! Darling,8,0
Abbey Road,The Beatles,Oh! Darling,9,0
Abbey Road,The Beatles,Oh! Darling,10,0
Abbey Road,The Beatles,Oh! Darling,11,0
Abbey Road,The Beatles,Oh! Darling,12,0
Abbey Road,The Beatles,Oh! Darling,13,0
Abbey Road,The Beatles,Oh! Darling,14,0
Abbey Road,The Beatles,Oh! Darling,15,0
Abbey Road,The Beatles,Oh! Darling,16,0
Abbey Road,The Beatles,Oh! Darling,17,0
Abbey Road,The Beatles,Oh! Darling,18,0
Abbey Road,The Beatles,Oh! Darling,19,0
Abbey Road,The Beatles,Oh! Darling,20,0
Abbey Road,The Beatles,Oh! Darling,21,0
Abbey Road,The Beatles,Oh! Darling,22,0
Abbey Road,The Beatles,Oh! Darling,23,0
Abbey Road,The Beatles,Oh! Darling,24,0
Abbey Road,The Beatles,Oh! Darling,25,0
Abbey Road,The Beatles,Polythene Pam,1,0
Abbey Road,The Beatles,Polythene Pam,2,0
Abbey Road,The Beatles,Polythene Pam,3,0
Abbey Road,The Beatles,Polythene Pam,4,0
Abbey Road,The Beatles,Polythene Pam,5,0
Abbey Road,The Beatles,Polythene Pam,6,0
Abbey Road,The Beatles,Polythene Pam,7,0
Abbey Road,The Beatles,Polythene Pam,8,0
Abbey Road,The Beatles,Polythene Pam,9,0
Abbey Road,The Beatles,Polythene Pam,10,0
Abbey Road,The Beatles,Polythene Pam,11,0
Abbey Road,The Beatles,Polythene Pam,12,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,1,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,2,0
Abbey Road,The Beatles,She Came In Through the Bathroom Window,3,0
