album,artist,song,sts_window
Abbey Road,The Beatles,Golden Slumbers,1
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,1
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Golden Slumbers,0
Abbey Road,The Beatles,Her Majesty,1
Abbey Road,The Beatles,Her Majesty,0
Abbey Road,The Beatles,Her Majesty,0
Abbey Road,The Beatles,Her Majesty,0
Abbey Road,The Beatles,Her Majesty,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,4
Abbey Road,The Beatles,Here Comes the Sun,3
Abbey Road,The Beatles,Here Comes the Sun,2
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,Here Comes the Sun,1
Abbey Road,The Beatles,Here Comes the Sun,0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),3
Abbey Road,The Beatles,I Want You (She's So Heavy),2
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),1
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,I Want You (She's So Heavy),0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
Abbey Road,The Beatles,Maxwell's Silver Hammer,0
